[NotebookApp | WARNING] No nbgrader_config.py file found (rerun with --debug to see where nbgrader is looking)
[NotebookApp | INFO] Loading the validate_assignment nbgrader serverextension
[NotebookApp | INFO] Serving notebooks from local directory: /media/pop/data1/NSI/Cours/Periode1/Architecture
[NotebookApp | INFO] The Jupyter Notebook is running at:
[NotebookApp | INFO] http://127.0.0.1:8888/?token=a1f136ea34867705acaeb4fd9279877ce838b7d982f627d4
[NotebookApp | INFO] Use Control-C to stop this server and shut down all kernels (twice to skip confirmation).
[NotebookApp | CRITICAL] 
    
    To access the notebook, open this file in a browser:
        file:///run/user/1000/jupyter/nbserver-4715-open.html
    Or copy and paste one of these URLs:
        http://127.0.0.1:8888/?token=a1f136ea34867705acaeb4fd9279877ce838b7d982f627d4
[NotebookApp | WARNING] Notebook Architecture.ipynb is not trusted
[NotebookApp | INFO] 302 GET /notebooks/img/IAS_von_Neumann.jpg (127.0.0.1) 3.60ms
[NotebookApp | INFO] 302 GET /notebooks/img/modele-originel2.png (127.0.0.1) 3.45ms
[NotebookApp | INFO] 302 GET /notebooks/img/control_unit.png (127.0.0.1) 3.88ms
[NotebookApp | INFO] 302 GET /notebooks/img/as_instruction.jpg (127.0.0.1) 3.96ms
[NotebookApp | INFO] 302 GET /notebooks/img/modele-actuel.png (127.0.0.1) 9.37ms
[NotebookApp | INFO] 302 GET /notebooks/img/harvard.001.jpg (127.0.0.1) 3.51ms
[NotebookApp | INFO] Kernel started: 0715db9d-a3de-47ce-b158-318e9b5cd095
[NotebookApp | INFO] Adapting to protocol v5.1 for kernel 0715db9d-a3de-47ce-b158-318e9b5cd095
[NotebookApp | INFO] Saving file at /Architecture.ipynb
[NotebookApp | INFO] Saving file at /Architecture.ipynb
[NotebookApp | INFO] Saving file at /Architecture.ipynb
[NotebookApp | INFO] Saving file at /Architecture.ipynb
[NotebookApp | INFO] Saving file at /Architecture.ipynb
[NotebookApp | INFO] Saving file at /Architecture.ipynb
[NotebookApp | INFO] Saving file at /Architecture.ipynb
[NotebookApp | INFO] Saving file at /Architecture.ipynb
[NotebookApp | INFO] Saving file at /Architecture.ipynb
[NotebookApp | INFO] Saving file at /Architecture.ipynb
[NotebookApp | INFO] Saving file at /Architecture.ipynb
[NotebookApp | INFO] Saving file at /Architecture.ipynb
[NotebookApp | INFO] Saving file at /Architecture.ipynb
[NotebookApp | INFO] Saving file at /Architecture.ipynb
[NotebookApp | INFO] Saving file at /Architecture.ipynb
[NotebookApp | INFO] Saving file at /Architecture.ipynb
[NotebookApp | INFO] Saving file at /Architecture.ipynb
[NotebookApp | INFO] Saving file at /Architecture.ipynb
