Etablissement;Année;Ville;Taux Brut de Réussite série L;Taux Brut de Réussite série ES;Taux Brut de Réussite série S;Académie
LYCEE MONTMAJOUR;2012;ARLES;95;79;96;AIX-MARSEILLE
LYCEE BRISTOL;2017;CANNES;84;84;75;NICE
LYCEE MARGUERITE DE NAVARRE;2017;BOURGES;89;94;91;ORLEANS-TOURS
LYCEE FULBERT;2017;CHARTRES;88;88;89;ORLEANS-TOURS
LYCEE NOTRE DAME;2017;CHARTRES;100;97;96;ORLEANS-TOURS
LYCEE EDOUARD BRANLY (GENERAL ET TECHNO.);2017;DREUX;94;98;97;ORLEANS-TOURS
LYCEE ROLLINAT;2017;ARGENTON SUR CREUSE;100;82;88;ORLEANS-TOURS
LYCEE BENJAMIN FRANKLIN (GENERAL ET TECHNO.);2017;ORLEANS;68;80;93;ORLEANS-TOURS
LYCEE POTHIER;2017;ORLEANS;88;83;87;ORLEANS-TOURS
LYCEE TURGOT;2017;PARIS 03;94;92;92;PARIS
LYCEE LOUIS LE GRAND;2017;PARIS 05;100;;100;PARIS
LYCEE LOUIS ARMAND (GENERAL ET TECHNO.);2017;PARIS 15;;54;71;PARIS
LYCEE L'ASSOMPTION;2017;PARIS 16;100;100;100;PARIS
LYCEE LA TOUR;2017;PARIS 16;100;100;100;PARIS
LYCEE BELLEVUE;2017;SAINTES;100;98;99;POITIERS
LYCEE JOSEPH DESFONTAINES;2017;MELLE;85;90;91;POITIERS
LYCEE GASTON BACHELARD (GENERAL ET TECHNO.);2017;BAR SUR AUBE;89;94;86;REIMS
LYCEE EUROPEEN STEPHANE HESSEL (GENERAL ET TECHNO.);2017;EPERNAY;95;87;85;REIMS
LYCEE ST SEBASTIEN;2017;LANDERNEAU;100;100;98;RENNES
LYCEE RENE LAENNEC;2017;PONT L ABBE;83;81;94;RENNES
LYCEE JEAN BRITO;2017;BAIN DE BRETAGNE;94;91;96;RENNES
LYCEE PORTE DE NORMANDIE;2017;VERNEUIL D AVRE ET D ITON;90;83;95;ROUEN
LYCEE LA PROVIDENCE;2017;FECAMP;100;90;95;ROUEN
LYCEE LA DECOUVERTE (GENERAL ET TECHNO.);2017;DECAZEVILLE;100;86;100;TOULOUSE
LYCEE BOSSUET;2017;CONDOM;94;93;89;TOULOUSE
LYCEE D'ARTAGNAN (GENERAL ET TECHNO.);2017;NOGARO;93;96;97;TOULOUSE
LYCEE DES ARENES;2017;TOULOUSE;85;80;93;TOULOUSE
LYCEE LES MARISTES TOULOUSE (GENERAL ET TECHNO.);2017;TOULOUSE;89;93;91;TOULOUSE
LYCEE OZENNE;2017;TOULOUSE;97;94;96;TOULOUSE
LYCEE MICHELET;2017;LANNEMEZAN;90;93;94;TOULOUSE
LYCEE LA SERRE DE SARSAN;2017;LOURDES;92;94;91;TOULOUSE
